Time (s);Ax (m/s²);Ay (m/s²);Az (m/s²)
11.3999069767;0.3398428230;9.4927573053;0.3882812477
11.4098372093;0.3446385965;9.7103914607;0.3882812477
11.4197674419;0.3590259170;9.7055551461;0.3498317918
11.4296976744;0.3494343700;9.4589031034;0.2681266980
11.4396279070;0.3062724086;9.3911946995;0.1864216043
11.4495581395;0.2774977677;9.5314478218;0.0422361447
11.4594883721;0.2870893147;9.6958825170;-0.0683060409
11.4694186047;0.2391315798;9.6039925403;-0.2124915005
11.4793488372;0.2055611655;9.4492304743;-0.3326460502
11.4892790698;0.1767865245;9.4250489015;-0.4576067818
11.4992093023;0.1719907511;9.5943199112;-0.6017922413
11.5091395349;0.1432161101;9.7152277752;-0.6883035171
11.5190697674;0.1048499223;9.6426830568;-0.7748147928
11.5290000000;0.0760752814;9.5798109675;-0.7748147928
11.5389302326;0.0808710548;9.6958825170;-0.7988457027
11.5488604651;0.0329133200;9.8264630102;-0.7844271568
11.5587906977;0.0329133200;9.8361356393;-0.7219467910
11.5687209302;0.0473006404;9.7732635500;-0.6017922413
11.5786511628;0.0233217730;9.7926088082;-0.4720253277
11.5885813953;0.0329133200;9.8844987849;-0.3518707781
11.5985116279;0.0185259995;9.9860613908;-0.1980729546
