Time (s);ωx (rad/s);ωy (rad/s);ωz (rad/s)
4.6052087114;0.6882141270;0.6640503851;-0.9755253883
4.6155111918;0.8195024706;0.6652773789;-1.0307401123
4.6258136721;1.0060055380;0.6640503851;-1.0724579037
4.6361161525;1.2379073785;0.6615963973;-1.0920898055
4.6464186328;1.5004840657;0.6579154157;-1.0933167994
4.6567211131;2.0170484828;0.6382835139;-1.0368750816
4.6670235935;2.0170484828;0.6382835139;-1.0368750816
4.6773260738;2.2379073785;0.6174246182;-0.9853413393
4.6876285541;2.4145944951;0.6002467041;-0.9166296828
4.6979310345;2.5213429614;0.5855227777;-0.8393290693
4.7082335148;2.5507908141;0.5732528391;-0.7571204804
4.7185359952;2.5066190350;0.5548479311;-0.6724579037
4.7288384755;2.3777846791;0.5401240047;-0.5914763086
4.7391409558;2.1839196485;0.5278540660;-0.5166296828
4.7494434362;1.9287049245;0.5204921029;-0.4540529957
4.7597459165;1.6391343724;0.5057681765;-0.4074272288
4.7700483969;1.3201159675;0.5008602010;-0.3742983945
4.7803508772;0.9912816117;0.4959522256;-0.3534394988
4.7906533575;0.6673552313;0.4910442501;-0.3411695601
4.8009558379;0.3679687282;0.4836822869;-0.3497585172
4.8112583182;0.1066190350;0.4836822869;-0.3632554497
4.8215607985;-0.1056509037;0.4898172562;-0.3841143454
4.8318632789;-0.2712950755;0.4898172562;-0.4098812166
4.8421657592;-0.3755895540;0.4922712440;-0.4393290693
4.8524682396;-0.4111723761;0.4934982378;-0.4687769221
4.8627707199;-0.3927674681;0.4971792194;-0.4847278423
4.8730732002;-0.3216018239;0.4959522256;-0.4969977810
4.8833756806;-0.2111723761;0.4984062133;-0.4957707871
4.8936781609;-0.0700680816;0.4971792194;-0.4785928730
4.9039806413;0.0734902006;0.4934982378;-0.4528260018
4.9142831216;0.2109135135;0.4947252317;-0.4111082104
4.9245856019;0.3360668877;0.4885902624;-0.3571204804
4.9348880823;0.4342263969;0.4910442501;-0.2957707871
4.9451905626;0.4820791577;0.4898172562;-0.2172431797
4.9554930430;0.4783981761;0.4885902624;-0.1338075969
4.9657955233;0.4207294644;0.4824552930;-0.0466910325
4.9760980036;0.2869871331;0.4812282992;0.0306095810
4.9864004840;0.1078460288;0.4750933299;0.1103641822
4.9967029643;-0.1191478362;0.4812282992;0.1839838141
5.0070054446;-0.3976754435;0.4787743114;0.2539224644
5.0173079250;-0.7081048914;0.4701853544;0.3042292129
5.0276104053;-1.0418472227;0.4665043728;0.3422660227
5.0379128857;-1.3792705356;0.4603694035;0.3643519123
5.0482153660;-1.7019699221;0.4566884219;0.3729408693
5.0585178463;-1.9964484497;0.4554614280;0.3692598877
5.0688203267;-2.2467551982;0.4456454771;0.3471739982
5.0791228070;-2.4295772840;0.4419644955;0.3189531393
5.0894252874;-2.5412337258;0.4407375016;0.2833703172
5.0997277677;-2.5792705356;0.4333755384;0.2416525258
5.1100302480;-2.5400067319;0.4358295262;0.2023887221
5.1203327284;-2.4344852595;0.4321485446;0.1594439368
5.1306352087;-2.2737490632;0.4333755384;0.1226341209
5.1409376891;-2.0651601061;0.4358295262;0.0980942436
5.1512401694;-1.8234423147;0.4358295262;0.0870512988
5.1615426497;-1.5829515172;0.4358295262;0.0882782927
5.1718451301;-1.3535036644;0.4321485446;0.0968672497
5.1821476104;-1.1473686951;0.4333755384;0.1214071270
5.1924500907;-0.9866324988;0.4296945568;0.1557629552
5.2027525711;-0.8921539712;0.4284675630;0.2023887221
5.2130550514;-0.8627061184;0.4284675630;0.2551494583
5.2233575318;-0.9019699221;0.4260135753;0.3091371884
5.2336600121;-1.0050374067;0.4186516121;0.3582169430
5.2439624924;-1.1645466092;0.4112896489;0.4060697037
5.2542649728;-1.3670005969;0.4051546795;0.4490144890
5.2645674531;-1.5878594926;0.4002467041;0.4784623417
5.2748699335;-1.8136263638;0.3928847409;0.4931862681
5.2851724138;-2.0295772840;0.3793878084;0.5017752252
5.2954748941;-2.2234423147;0.3707988513;0.4980942436
5.3057773745;-2.3620926215;0.3609829004;0.4760083540
5.3160798548;-2.4369392472;0.3499399556;0.4490144890
5.3263823351;-2.4516631736;0.3499399556;0.4097506853
5.3366848155;-2.3939944620;0.3425779924;0.3606709307
5.3469872958;-2.2553441552;0.3364430231;0.3115911761
5.3572897762;-2.0504361797;0.3364430231;0.2661924031
5.3675922565;-1.8001294313;0.3388970108;0.2207936301
5.3778947368;-1.5191478362;0.3401240047;0.1790758387
5.3881972172;-1.1989024374;0.3376700170;0.1410390288
5.3984996975;-0.8639331123;0.3401240047;0.1189531393
5.4088021779;-0.5424607196;0.3450319802;0.1030022190
5.4191046582;-0.2381662411;0.3487129618;0.0944132620
5.4294071385;0.0268644338;0.3499399556;0.0931862681
5.4397096189;0.2538582988;0.3425779924;0.1042292129
5.4500120992;0.4354533908;0.3474859679;0.1214071270
5.4603145796;0.5569257834;0.3474859679;0.1422660227
5.4706170599;0.6207294644;0.3499399556;0.1704868816
5.4809195402;0.6280914276;0.3499399556;0.2011617282
5.4912220206;0.5851466423;0.3487129618;0.2244746117
5.5015245009;0.4980300779;0.3487129618;0.2514684767
5.5118269812;0.3790116730;0.3462589740;0.2735543663
5.5221294616;0.2538582988;0.3438049863;0.2907322804
5.5324319419;0.1274779307;0.3425779924;0.3054562068
5.5427344223;0.0121405074;0.3450319802;0.3091371884
5.5530369026;-0.0774300448;0.3536209372;0.3079101945
5.5633393829;-0.1350987564;0.3548479311;0.3017752252
5.5736418633;-0.1412337258;0.3499399556;0.2796893356
5.5839443436;-0.0872459957;0.3548479311;0.2539224644
5.5942468240;0.0170484828;0.3609829004;0.2244746117
5.6045493043;0.1753306914;0.3536209372;0.1950267589
5.6148517846;0.4010975626;0.3523939433;0.1643519123
5.6251542650;0.6526313049;0.3597559065;0.1275420963
5.6354567453;0.9385208755;0.3634368881;0.0956402558
5.6457592257;1.2477233295;0.3658908759;0.0698733847
5.6560617060;1.5569257834;0.3658908759;0.0428795196
5.6663641863;1.8526313049;0.3781608145;0.0269285994
5.6766666667;2.1213429614;0.3830687900;0.0171126485
5.6869691470;2.3397478693;0.3806148022;0.0158856546
5.6972716273;2.5103000166;0.3720258452;0.0146586607
5.7075741077;2.6060055380;0.3769338207;0.0195666362
5.7178765880;2.6329994031;0.3732528391;0.0306095810
5.7281790684;2.5888276239;0.3695718575;0.0404255319
5.7384815487;2.4783981761;0.3720258452;0.0563764522
5.7487840290;2.3029380534;0.3793878084;0.0796893356
5.7590865094;2.0906681147;0.3732528391;0.1042292129
5.7693889897;1.8612202620;0.3720258452;0.1201801331
5.7796914701;1.6244104460;0.3707988513;0.1385850411
5.7899939504;1.3912816117;0.3683448636;0.1459470043
5.8002964307;1.1888276239;0.3720258452;0.1496279859
5.8105989111;1.0256374399;0.3671178697;0.1459470043
5.8209013914;0.9139809982;0.3671178697;0.1422660227
5.8312038717;0.8636742497;0.3671178697;0.1287690902
5.8415063521;0.8759441884;0.3683448636;0.1079101945
5.8518088324;0.9458828387;0.3683448636;0.0919592742
5.8621113128;1.0673552313;0.3683448636;0.0686463908
5.8724137931;1.2280914276;0.3744798329;0.0441065135
5.8827162734;1.4109135135;0.3793878084;0.0293825871
5.8930187538;1.5949625933;0.3879767654;0.0122046730
5.9033212341;1.7728767037;0.3818417961;-0.0062002350
5.9136237145;1.9250239430;0.3855227777;-0.0246051429
5.9239261948;2.0354533908;0.3892037593;-0.0430100509
5.9342286751;2.0980300779;0.3830687900;-0.0638689466
