Time (s);Pressure (kPa)
1.4171067645;101.8173320564;18.4579439252
1.4270863896;101.7278940960;18.6448598131
1.4370660147;101.5493367995;18.4579439252
1.4470456398;101.8173320564;18.4579439252
1.4570252649;101.6833344280;18.4579439252
1.4670048900;101.7281033764;18.0841121495
1.4769845151;101.7278940960;18.6448598131
1.4869641402;101.8173320564;18.4579439252
1.4969437653;101.8173320564;18.4579439252
1.5069233904;101.8619463963;18.6448598131
1.5169030155;101.6833344280;18.4579439252
1.5268826406;101.7278940960;18.6448598131
1.5368622657;101.8173320564;18.4579439252
1.5468418908;101.7727177164;18.2710280374
1.5568215159;101.6833344280;18.4579439252
1.5668011410;102.0853273132;18.4579439252
1.5767807661;101.6833344280;18.4579439252
1.5867603912;101.8619463963;18.6448598131
1.5967400163;101.8173320564;18.4579439252
1.6067196414;101.7727177164;18.2710280374
1.6166992665;101.8619463963;18.6448598131
1.6266788916;101.8619463963;18.6448598131
1.6366585167;101.9959986967;18.6448598131
1.6466381418;101.7727177164;18.2710280374
1.6566177669;101.6833344280;18.4579439252
1.6665973920;101.8173320564;18.4579439252
1.6765770171;101.9513296848;18.4579439252
1.6865566422;101.6833344280;18.4579439252
1.6965362673;101.8619463963;18.6448598131
1.7065158924;101.8173320564;18.4579439252
1.7164955175;101.6833344280;18.4579439252
1.7264751426;101.8173320564;18.4579439252
1.7364547677;101.8173320564;18.4579439252
1.7464343928;101.6833344280;18.4579439252
1.7564140179;101.8173320564;18.4579439252
1.7663936430;101.9959986967;18.6448598131
1.7763732681;101.8173320564;18.4579439252
1.7863528932;101.6833344280;18.4579439252
1.7963325183;101.8173320564;18.4579439252
1.8063121434;101.6833344280;18.4579439252
1.8162917685;101.9513296848;18.4579439252
1.8262713936;101.8173320564;18.4579439252
1.8362510187;101.6833344280;18.4579439252
1.8462306438;101.6833344280;18.4579439252
1.8562102689;101.8173320564;18.4579439252
1.8661898941;101.8173320564;18.4579439252
1.8761695192;102.0853273132;18.4579439252
1.8861491443;101.9513296848;18.4579439252
1.8961287694;101.6833344280;18.4579439252
1.9061083945;101.8173320564;18.4579439252
1.9160880196;101.8619463963;18.6448598131
1.9260676447;101.7278940960;18.6448598131
1.9360472698;101.9065607363;18.8317757009
1.9460268949;101.6833344280;18.4579439252
1.9560065200;101.6833344280;18.4579439252
1.9659861451;101.8173320564;18.4579439252
1.9759657702;101.5938417956;18.6448598131
