Time (s);Bx (µT);By (µT);Bz (µT)
13.5723193642;-25.9676677998;-1934.6922146341;9.8239987480
13.5846242775;-25.2595053167;-1936.3897990244;6.4699234283
13.5969291908;-24.1972615921;-1935.3095180488;5.3518983217
13.6092341040;-23.6661397298;-1936.0811473171;8.7059736414
13.6215390173;-23.3120584882;-1935.7724956098;10.1035050246
13.6338439306;-22.7809366259;-1936.2354731707;9.4047393330
13.6461488439;-21.7186929013;-1936.2354731707;8.1469610881
13.6584537572;-22.0727741428;-1936.0811473171;9.4047393330
13.6707586705;-21.5416522805;-1937.3157541463;8.0072079498
13.6830635838;-20.3023679351;-1936.5441248781;8.8457267797
13.6953684971;-20.3023679351;-1939.3219902439;8.2867142264
13.7076734104;-20.3023679351;-1938.8590126829;9.8239987480
13.7199783237;-20.1253273144;-1937.4700800000;8.2867142264
13.7322832370;-19.5942054520;-1938.8590126829;8.2867142264
13.7445881503;-20.3023679351;-1939.3219902439;6.8891828432
13.7568930636;-20.8334897974;-1939.6306419512;6.6096765666
13.7691979769;-21.1875710390;-1937.1614282927;7.0289359816
13.7815028902;-21.0105304182;-1937.4700800000;6.3301702899
13.7938078035;-21.3646116597;-1938.3960351220;6.8891828432
13.8061127168;-22.2498147636;-1938.0873834146;5.4916514600
13.8184176301;-23.3120584882;-1936.5441248781;8.0072079498
13.8307225434;-22.7809366259;-1937.3157541463;5.9109108750
13.8430274566;-23.3120584882;-1938.2417092683;4.9326389067
13.8553323699;-24.1972615921;-1937.6244058537;3.3953543852
13.8676372832;-24.7283834544;-1937.0071024390;7.8674548115
13.8799421965;-24.7283834544;-1936.2354731707;6.0506640133
13.8922471098;-25.4365459375;-1935.7724956098;8.7059736414
13.9045520231;-26.3217490413;-1936.6984507317;6.6096765666
13.9168569364;-26.4987896621;-1934.6922146341;8.4264673648
13.9291618497;-27.7380740075;-1933.6119336585;7.4481953965
13.9414667630;-27.2069521452;-1933.7662595122;9.2649861947
13.9537716763;-28.9773583529;-1933.3032819512;7.8674548115
13.9660765896;-28.4462364906;-1932.3773268293;8.8457267797
13.9783815029;-28.4462364906;-1931.9143492683;7.0289359816
13.9906864162;-29.3314395944;-1931.4513717073;8.5662205031
14.0029913295;-29.3314395944;-1932.3773268293;7.5879485348
14.0152962428;-30.5707239398;-1931.1427200000;7.3084422582
14.0276011561;-30.7477645606;-1930.3710907317;9.8239987480
14.0399060694;-31.8100082852;-1929.7537873171;7.8674548115
14.0522109827;-32.1640895267;-1929.7537873171;8.9854799180
14.0645158960;-32.5181707683;-1928.3648546341;10.6625175779
14.0768208092;-31.9870489060;-1928.8278321951;8.7059736414
14.0891257225;-34.1115363552;-1927.2845736585;10.5227644396
14.1014306358;-34.1115363552;-1926.5129443902;10.3830113013
14.1137355491;-34.1115363552;-1925.7413151220;12.7588146527
14.1260404624;-33.5804144929;-1925.5869892683;12.1998020994
14.1383453757;-34.2885769760;-1922.6547980488;10.9420238545
14.1506502890;-33.7574551137;-1923.8894048781;13.5973334826
14.1629552023;-33.5804144929;-1922.0374946341;12.8985677910
14.1752601156;-33.4033738721;-1923.4264273171;12.0600489611
14.1875650289;-33.7574551137;-1922.9634497561;12.7588146527
14.1998699422;-33.0492926306;-1921.4201912195;14.8551117275
14.2121748555;-33.2263332514;-1922.6547980488;16.2526431107
14.2244797688;-33.5804144929;-1920.3399102439;13.4575803443
14.2367846821;-32.6952113890;-1921.7288429268;14.7153585892
14.2490895954;-32.3411301475;-1921.1115395122;16.1128899724
14.2613945087;-33.2263332514;-1918.9509775610;17.7899276323
14.2736994220;-32.6952113890;-1922.3461463415;15.2743711425
14.2860043353;-31.8100082852;-1921.2658653659;17.0911619407
14.2983092486;-30.5707239398;-1920.6485619512;18.2091870472
14.3106141618;-30.0396020775;-1922.1918204878;18.2091870472
14.3229190751;-30.2166426983;-1919.5682809756;18.2091870472
14.3352239884;-28.4462364906;-1921.5745170732;17.2309150790
14.3475289017;-28.0921552490;-1921.7288429268;17.0911619407
14.3598338150;-28.0921552490;-1920.8028878049;19.0477058772
14.3721387283;-27.3839927659;-1920.1855843902;18.9079527388
14.3844436416;-27.0299115244;-1921.1115395122;19.7464715688
14.3967485549;-27.2069521452;-1921.5745170732;17.3706682173
14.4090534682;-26.3217490413;-1922.0374946341;18.4886933239
14.4213583815;-24.7283834544;-1923.8894048781;17.5104213556
14.4336632948;-23.4890991090;-1923.2721014634;19.1874590155
14.4459682081;-22.9579772467;-1924.3523824390;19.0477058772
14.4582731214;-22.9579772467;-1924.6610341463;20.4452372604
14.4705780347;-21.5416522805;-1924.3523824390;20.0259778454
14.4828829480;-21.0105304182;-1925.8956409756;17.0911619407
14.4951878613;-19.0630835897;-1926.0499668293;17.9296807706
14.5074927746;-18.7090023482;-1926.3586185366;19.3272121538
14.5197976879;-17.8237992443;-1927.7475512195;18.4886933239
14.5321026012;-17.1156367613;-1928.6735063415;18.2091870472
14.5444075145;-15.6993117951;-1928.8278321951;17.3706682173
14.5567124277;-15.1681899328;-1930.2167648781;18.4886933239
14.5690173410;-14.4600274497;-1930.0624390244;18.3489401856
14.5813222543;-13.2207431043;-1931.1427200000;16.1128899724
14.5936271676;-13.0437024835;-1930.6797424390;17.5104213556
14.6059320809;-11.4503368966;-1931.4513717073;18.3489401856
14.6182369942;-10.9192150343;-1932.8403043902;19.6067184305
14.6305419075;-8.4406463435;-1932.5316526829;18.3489401856
14.6428468208;-8.4406463435;-1933.6119336585;17.7899276323
14.6551517341;-7.7324838604;-1933.7662595122;17.5104213556
14.6674566474;-6.3161588943;-1935.6181697561;16.9514088024
14.6797615607;-5.7850370319;-1933.7662595122;17.6501744940
14.6920664740;-5.0768745489;-1935.6181697561;13.3178272060
14.7043713873;-4.1916714450;-1936.8527765854;13.0383209294
14.7166763006;-2.0671839958;-1938.3960351220;13.8768397593
14.7289812139;-1.8901433750;-1938.5503609756;13.5973334826
14.7412861272;-1.8901433750;-1938.5503609756;13.5973334826
